Timestamp,n-transactions
2010-09-19 00:00:00,409.57142857142856
2010-09-22 00:00:00,465.42857142857144
2010-09-25 00:00:00,551.1428571428571
2010-09-28 00:00:00,596.2857142857143
2010-10-01 00:00:00,552.4285714285714
2010-10-04 00:00:00,556.5714285714286
2010-10-07 00:00:00,430.2857142857143
2010-10-10 00:00:00,380.85714285714283
2010-10-13 00:00:00,366.85714285714283
2010-10-16 00:00:00,359.57142857142856
2010-10-19 00:00:00,412.57142857142856
2010-10-22 00:00:00,570.5714285714286
2010-10-25 00:00:00,634.1428571428571
2010-10-28 00:00:00,531.2857142857143
2010-10-31 00:00:00,489.57142857142856
2010-11-03 00:00:00,413
2010-11-06 00:00:00,357.2857142857143
2010-11-08 23:00:00,396.7142857142857
2010-11-11 23:00:00,429
2010-11-14 23:00:00,394.42857142857144
2010-11-17 23:00:00,2264.4285714285716
2010-11-20 23:00:00,5097.714285714285
2010-11-23 23:00:00,4574.285714285715
2010-11-26 23:00:00,4384.571428571428
2010-11-29 23:00:00,1703.857142857143
2010-12-02 23:00:00,584.7142857142857
2010-12-05 23:00:00,445.14285714285717
2010-12-08 23:00:00,465.2857142857143
2010-12-11 23:00:00,486.2857142857143
2010-12-14 23:00:00,551.1428571428571
2010-12-17 23:00:00,589.5714285714286
2010-12-20 23:00:00,610
2010-12-23 23:00:00,607.4285714285714
2010-12-26 23:00:00,641.2857142857143
2010-12-29 23:00:00,566.8571428571429
2011-01-01 23:00:00,584.4285714285714
2011-01-04 23:00:00,713.7142857142857
2011-01-07 23:00:00,908.4285714285714
2011-01-10 23:00:00,1139.142857142857
2011-01-13 23:00:00,1254.4285714285713
2011-01-16 23:00:00,1179.5714285714287
2011-01-19 23:00:00,998
2011-01-22 23:00:00,1001.1428571428571
2011-01-25 23:00:00,1102.5714285714287
2011-01-28 23:00:00,1091.142857142857
2011-01-31 23:00:00,1306.857142857143
2011-02-03 23:00:00,1301.5714285714287
2011-02-06 23:00:00,969.4285714285714
2011-02-09 23:00:00,921.2857142857143
2011-02-12 23:00:00,1453.5714285714287
2011-02-15 23:00:00,1940
2011-02-18 23:00:00,2051.4285714285716
2011-02-21 23:00:00,2016
2011-02-24 23:00:00,2016.5714285714287
2011-02-27 23:00:00,2117
2011-03-02 23:00:00,2121.1428571428573
2011-03-05 23:00:00,2280.1428571428573
2011-03-08 23:00:00,2234.285714285714
2011-03-11 23:00:00,1974.857142857143
2011-03-15 00:00:00,2304.1428571428573
2011-03-18 00:00:00,2799.714285714286
2011-03-21 00:00:00,3097.5714285714284
2011-03-24 00:00:00,3666.5714285714284
2011-03-27 00:00:00,3462.4285714285716
2011-03-30 00:00:00,2882.8571428571427
2011-04-02 00:00:00,2411
2011-04-05 00:00:00,2004.857142857143
2011-04-08 00:00:00,1875
2011-04-11 00:00:00,1887.5714285714287
2011-04-14 00:00:00,1901.7142857142858
2011-04-17 00:00:00,2169.714285714286
2011-04-20 00:00:00,2616.285714285714
2011-04-23 00:00:00,2575
2011-04-26 00:00:00,2536.285714285714
2011-04-29 00:00:00,2906
2011-05-02 00:00:00,3659.714285714286
2011-05-05 00:00:00,3403
2011-05-08 00:00:00,3345.714285714286
2011-05-11 00:00:00,3286.5714285714284
2011-05-14 00:00:00,3423.8571428571427
2011-05-17 00:00:00,3742.714285714286
2011-05-20 00:00:00,4472.142857142857
2011-05-23 00:00:00,4871.142857142857
2011-05-26 00:00:00,5367.428571428572
2011-05-29 00:00:00,5711.857142857143
2011-06-01 00:00:00,5606.285714285715
2011-06-04 00:00:00,6183.285714285715
2011-06-07 00:00:00,7898
2011-06-10 00:00:00,9791.42857142857
2011-06-13 00:00:00,11043.142857142857
2011-06-16 00:00:00,12113
2011-06-19 00:00:00,12293.42857142857
2011-06-22 00:00:00,11515.857142857143
2011-06-25 00:00:00,10974.714285714286
2011-06-28 00:00:00,10570.285714285714
2011-07-01 00:00:00,10386.857142857143
2011-07-04 00:00:00,9870.42857142857
2011-07-07 00:00:00,9387
2011-07-10 00:00:00,9001.57142857143
2011-07-13 00:00:00,9020
2011-07-16 00:00:00,8710
