Timestamp,mempool-size
2016-12-25 07:45:00,9528103.482118055
2016-12-26 13:45:00,8684115.178993056
2016-12-27 19:45:00,8622480.446180556
2016-12-29 01:45:00,8515823.123784723
2016-12-30 07:45:00,8509583.623090278
2016-12-31 13:45:00,8406348.896006944
2017-01-01 19:45:00,7550527.995659722
2017-01-03 01:45:00,7422546.905902778
2017-01-04 07:45:00,7396876.658854167
2017-01-05 13:45:00,7326381.8765625
2017-01-06 19:45:00,8111155.944791666
2017-01-08 01:45:00,8692677.4125
2017-01-09 07:45:00,8815441.100347223
2017-01-10 13:45:00,9202789.343576388
2017-01-11 19:45:00,9484985.934895834
2017-01-13 01:45:00,9601856.830729166
2017-01-14 07:45:00,9483644.927083334
2017-01-15 13:45:00,8975359.972395834
2017-01-16 19:45:00,8653457.46423611
2017-01-18 01:45:00,8504993.427951388
